title,release_year,genre,vote_average,popularity,vote_count,original_language,cluster
Time Is Up,2021,"Romance, Drama",6.2,211.613,250,en,6
The Deep House,2021,Horror,6.5,211.563,527,en,5
Boruto: Naruto the Movie,2015,"Animation, Action, Comedy",7.7,211.071,996,ja,3
Harry Potter and the Chamber of Secrets,2002,"Adventure, Fantasy",7.7,210.837,17901,en,10
Sonic the Hedgehog,2020,"Action, Science Fiction, Comedy, Family",7.4,210.751,7559,en,2
Coco,2017,"Family, Animation, Fantasy, Music, Comedy, Adventure",8.2,210.527,15355,en,0
Ava,2017,Drama,6.0,210.438,130,fr,6
Fury,2014,"War, Drama, Action",7.5,210.26,9757,en,1
Don't Breathe 2,2021,"Thriller, Horror",7.4,209.059,1490,en,7
Matando Cabos 2: La Máscara del Máscara,2021,"Action, Comedy, Adventure",7.8,209.018,70,es,10
Monster Hunter,2020,"Action, Fantasy, Adventure",6.8,208.742,2460,en,10
The Last: Naruto the Movie,2014,"Action, Romance, Animation",7.9,208.37,1139,ja,2
Spider-Man: Homecoming,2017,"Action, Adventure, Science Fiction, Drama",7.4,207.817,18174,en,11
Bigbug,2022,"Science Fiction, Comedy",5.4,207.027,176,fr,3
Spider-Man,2002,"Fantasy, Action",7.2,206.376,15336,en,10
Avengers: Endgame,2019,"Adventure, Science Fiction, Action",8.3,205.308,20521,en,11
Old,2021,"Thriller, Mystery, Horror",6.6,205.157,2288,en,7
Real Steel,2011,"Action, Science Fiction, Drama",6.9,203.843,6561,en,2
Love and Leashes,2022,"Romance, Comedy",6.3,203.743,68,ko,9
After,2019,"Romance, Drama",7.2,203.008,6973,en,6
The Forever Purge,2021,"Horror, Action, Thriller",7.3,202.704,1652,en,7
Tall Girl 2,2022,"Comedy, Drama, Romance",6.0,202.01,127,en,9
Dog,2022,"Drama, Comedy",8.3,200.253,32,en,3
I Am Legend,2007,"Drama, Science Fiction, Thriller",7.2,199.248,13042,en,4
Naruto Shippuden the Movie,2007,"Animation, Action, Fantasy",7.2,198.011,418,ja,10
Tom & Jerry,2021,"Comedy, Family, Animation",7.0,197.721,1948,en,0
Against the Ice,2022,"Adventure, History, Drama",7.0,195.989,117,en,6
An Egg Rescue,2021,"Animation, Comedy",8.1,194.622,295,es,3
Harry Potter and the Goblet of Fire,2005,"Adventure, Fantasy, Family",7.8,193.459,16947,en,10
Pretty Guardian Sailor Moon Eternal The Movie Part 2,2021,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Romance",8.1,192.922,102,ja,10
Demonic,2021,"Horror, Thriller",4.8,192.391,109,en,7
Far From the Tree,2021,"Animation, Family",8.1,192.331,194,en,0
Black Water: Abyss,2020,"Horror, Thriller, Adventure, Mystery",5.1,191.722,312,en,7
"Yes, No, or Maybe Half?",2020,"Animation, Drama, Romance",6.7,191.592,17,ja,6
The SpongeBob Movie: Sponge on the Run,2020,"Family, Animation, Fantasy, Adventure, Comedy",7.6,191.122,2436,en,0
Spider-Man: Into the Spider-Verse,2018,"Action, Adventure, Animation, Science Fiction",8.4,190.775,10951,en,11
Harry Potter and the Prisoner of Azkaban,2004,"Adventure, Fantasy",8.0,189.771,17607,en,10
The Vault,2021,"Crime, Action, Thriller",7.1,189.579,555,en,8
The Adam Project,2022,"Science Fiction, Adventure, Comedy",6.0,189.245,2,en,11
Deadpool,2016,"Action, Adventure, Comedy",7.6,189.206,26390,en,10
The Harder They Fall,2021,Western,6.7,188.865,611,en,3
"Monsters, Inc.",2001,"Animation, Comedy, Family",7.8,188.759,15255,en,0
Ainbo: Spirit of the Amazon,2021,"Adventure, Animation, Family, Fantasy",7.1,188.484,285,en,0
Don't Look Up,2021,"Comedy, Drama, Science Fiction",7.2,188.404,4819,en,3
